,score,name,score,name,score,name,score,name,score,name,score,name
0,12,Michelle Pratt,12,Karen Bertasso,12,Lara Stelmaszyk,12,Sue Thompson,12,Karen Dott,12,Anny Stockman
1,10,Michelle Davis,10,Nicole Soblosky,10,,10,Peggy McKeown,10,Martha DeGrazia,10,
2,8,Katie Kurtessis,8,Elizabeth Chauhan,8,,8,Donna Charlebois,8,Jill Mehan,8,
3,7,,7,Larissa Bates,7,,7,,7,,7,
4,6,,6,,6,,6,,6,,6,
5,5,,5,,5,,5,,5,,5,
6,4,,4,,4,,4,,4,,4,
7,3,,3,,3,,3,,3,,3,
8,2,,2,,2,,2,,2,,2,
9,1,,1,,1,,1,,1,,1,
